"X1" "X2" "X3" "yc"
"117" 0.95 10.65 4.23 23.4335975675969
"118" 0.95 10.65 4.23 23.1073074391047
"119" 0.95 10.65 4.23 20.9089920626291
"120" 0.95 10.65 4.23 19.3470902937002
"121" 1 4.68 14.78 13.8834741173922
"122" 1 4.68 14.78 12.1649484536082
"123" 1 4.68 14.78 11.9386756551049
"124" 1 4.68 14.78 9.43416639619171
"125" 1 4.68 14.78 10.5828720286552
"126" 1 4.68 14.78 11.7653496771369
"127" 1 4.68 14.78 9.54293779177072
"128" 1 4.68 14.78 11.4671348622847
"129" 1.06 13.4 8.93 11.3565010284724
"130" 1.06 13.4 8.93 7.6756052545869
"131" 1.06 13.4 8.93 10.2942773373873
"132" 1.06 13.4 8.93 6.37445887445887
"133" 1.06 13.4 8.93 10.9756097560976
"134" 1.06 13.4 8.93 14.6505228398459
"135" 1.06 13.4 8.93 8.66441711113529
"136" 1.06 13.4 8.93 13.0107057024252
"137" 1.11 8.35 1.73 39.8757628596338
"138" 1.11 8.35 1.73 40.0372031950979
"139" 1.11 8.35 1.73 38.2592429577465
"140" 1.11 8.35 1.73 28.7822065624312
"141" 1.11 8.35 1.73 27.8543307086614
"142" 1.11 8.35 1.73 30.2387267904509
"143" 1.11 8.35 1.73 25.1706672539088
"144" 1.11 8.35 1.73 28.8504216600089
"145" 1.17 1.48 9.38 9.7152792871115
"146" 1.17 1.48 9.38 12.5498007968128
"147" 1.17 1.48 9.38 8.70227346894376
"148" 1.17 1.48 9.38 9.58182416858743
"149" 1.17 1.48 9.38 10.2544417635446
"150" 1.17 1.48 9.38 10.5157401205626
"151" 1.17 1.48 9.38 9.23646661583706
"152" 1.17 1.48 9.38 10.9338906610934
"153" 1.22 11.1 11.18 10.7982740021575
"154" 1.22 11.1 11.18 8.75230752524704
"155" 1.22 11.1 11.18 9.12681000438788
"156" 1.22 11.1 11.18 8.5890901203774
"157" 1.22 11.1 11.18 9.65112487773068
"158" 1.22 11.1 11.18 9.08085388784426
"159" 1.22 11.1 11.18 9.36345861394743
"160" 1.22 11.1 11.18 7.54737529949903
"161" 1.28 5.15 4.88 18.7398856403064
"162" 1.28 5.15 4.88 18.3848797250859
"163" 1.28 5.15 4.88 14.5929669856974
"164" 1.28 5.15 4.88 13.5653871177619
"165" 1.28 5.15 4.88 15.9626452383538
"166" 1.28 5.15 4.88 17.5554092604784
"167" 1.28 5.15 4.88 15.2875937805806
"168" 1.28 5.15 4.88 17.796702696801
"169" 1.33 8.81 12.97 8.98852068442711
"170" 1.33 8.81 12.97 10.4177970699946
"171" 1.33 8.81 12.97 8.51364575405023
"172" 1.33 8.81 12.97 8.97976847343936
"173" 1.33 8.81 12.97 9.38890697926843
"174" 1.33 8.81 12.97 9.57644741162307
"175" 1.33 8.81 12.97 8.58755835414178
"176" 1.33 8.81 12.97 8.02150773620103
"177" 1.39 14.31 3.53 16.4880372415286
"178" 1.39 14.31 3.53 18.2716317446531
